squad_id,player_id
31,1628369
31,1627759
31,201568
31,1628401
31,1630202
31,1629684
31,1627763
31,1631120
31,1629662
31,1630573
31,203935
31,1628436
31,201143
31,1629057
31,203488
31,201933
31,1630551
32,1628983
32,1630581
32,1629652
32,1631119
32,1631096
32,1631114
32,203967
32,1630198
32,1630322
32,1631172
32,1630215
32,1630197
32,1630598
32,1630544
32,1630846
32,1629026
32,1630526
33,1631128
33,1629008
33,203484
33,201599
33,202704
33,1631212
33,1631298
33,1628971
33,1628418
33,202397
33,203999
33,1631221
33,1630192
33,1627750
33,1628427
33,201145
33,203932
34,1630167
34,1630540
34,1631211
34,1628404
34,201565
34,1630613
34,1630193
34,1629656
34,1629610
34,1629628
34,1628973
34,203095
34,1629676
34,1629011
34,203944
34,1630579
34,1628392
35,1630699
35,203086
35,1628975
35,204060
35,1626171
35,201572
35,1628960
35,1631260
35,201950
35,203114
35,202083
35,1626192
35,1629623
35,201609
35,203507
35,203648
35,203109
36,1630162
36,1630183
36,1629669
36,203937
36,1629162
36,1631111
36,1631169
36,1629638
36,201144
36,1629675
36,1627752
36,1630233
36,203085
36,203497
36,1626157
36,1630346
36,1630568
37,1627747
37,1630596
37,1630205
37,1629685
37,1629636
37,201937
37,201980
37,1630600
37,1626224
37,203526
37,1630241
37,1629603
37,1628386
37,1629731
37,201577
37,1630171
37,1628378
38,201566
38,202695
38,1630527
38,1630538
38,1629599
38,202694
38,201569
38,202331
38,1629611
38,1629875
38,1630554
38,203496
38,1626181
38,1631217
38,201587
38,1627826
38,203486
39,201580
39,203200
39,1629033
39,202681
39,1630702
39,203939
39,1630182
39,1630639
39,203501
39,202693
39,1628373
39,1630593
39,203493
39,1626174
39,1628467
39,202722
39,1629029
40,1628371
40,1631216
40,1629643
40,1630591
40,1631094
40,1630284
40,1629626
40,203487
40,203914
40,1628365
40,1629021
40,1630532
40,1629678
40,1628976
40,1630175
40,1629048
41,1630169
41,1631097
41,1629614
41,1630537
41,201588
41,204456
41,1631112
41,1629052
41,1629670
41,201949
41,1630543
41,1630174
41,1627741
41,1630188
41,1628464
41,1628221
41,1626167
42,1628470
42,1626164
42,1629006
42,101108
42,203082
42,1627814
42,1629111
42,1630688
42,1629013
42,1626166
42,202687
42,203933
42,1629028
42,201142
42,1630240
42,1629647
43,1631220
43,1629627
43,1626196
43,203468
43,1630529
43,1630230
43,1626195
43,1629637
43,1630700
43,1630184
43,1627742
43,1630631
43,202685
43,1626204
43,1630530
43,1630604
43,202066
44,1630178
44,201935
44,1626149
44,1629667
44,1629001
44,1630644
44,1630531
44,202699
44,203473
44,200782
44,1629003
44,1627777
44,203954
44,1629663
44,1627863
44,1627788
44,1630194
45,1627885
45,1626156
45,1629020
45,203076
45,1629022
45,1627736
45,2544
45,1628972
45,202684
45,1631108
45,1628964
45,1630590
45,1630559
45,203471
45,1631306
45,1629060
45,1629117
46,201567
46,1629216
46,203506
46,1631107
46,200768
46,1631288
46,1628389
46,1629639
46,1628997
46,202710
46,1629312
46,1631115
46,1629622
46,2617
46,203469
46,1629130
46,1630209
47,1629632
47,1628366
47,203083
47,1627884
47,1627936
47,203897
47,202696
47,201942
47,1630245
47,1630250
47,201976
47,1630637
47,1629750
47,1631207
47,1630678
47,1631171
47,1630172
48,1628370
48,1629056
48,1628368
48,1629002
48,203521
48,1628989
48,1627734
48,1631099
48,1630558
48,1630556
48,1626158
48,1631165
48,203458
48,1628408
48,203084
48,1626168
48,1629674
49,1631495
49,1628981
49,1630552
49,1630235
49,1628988
49,1627749
49,1629027
49,1629631
49,203992
49,1631100
49,203991
49,1630168
49,1628381
49,1631213
49,1629726
49,1630249
49,1630180
50,1628978
50,1630228
50,203210
50,1631157
50,1629673
50,1630541
50,1626172
50,1631116
50,1627780
50,2738
50,1629660
50,202691
50,203952
50,203110
50,1631311
50,201939
50,1630237
51,1631102
51,1626161
51,1631095
51,1629645
51,201571
51,1630224
51,1630620
51,1630231
51,1630256
51,1630528
51,1631309
51,1630227
51,1630586
51,1631106
51,1630578
51,1626163
51,1626246
52,1626220
52,1630564
52,1628969
52,1629661
52,1628410
52,1630561
52,201988
52,1630696
52,1627732
52,203925
52,1629139
52,1630549
52,1630560
52,203915
52,1627827
52,203552
52,1629651
53,203115
53,1628384
53,1630567
53,1630173
53,1631199
53,1630580
53,1627751
53,1630288
53,201152
53,1630201
53,1627832
53,1628449
53,203490
53,1629018
53,1631132
53,1627783
53,1630625
54,1629659
54,203903
54,1629012
54,1627739
54,1630176
54,1627745
54,1631323
54,1629677
54,1628962
54,200752
54,1628374
54,1631117
54,1630695
54,1630534
54,1630548
54,203482
54,1629308
55,1631367
55,1630214
55,1631222
55,203500
55,1631246
55,1631254
55,1630583
55,1630533
55,1628379
55,1629630
55,1628991
55,1629634
55,1626145
55,1630217
55,1628415
55,1631223
55,1629723
56,1630163
56,1630547
56,1626179
56,1630208
56,1631109
56,1631121
56,1628372
56,1630177
56,1628998
56,1626162
56,1629004
56,1630270
56,202330
56,1630550
56,1628424
56,1630539
56,1629023
57,1629640
57,1628984
57,1631110
57,1631104
57,203926
57,1631103
57,1628380
57,1630170
57,203920
57,1631230
57,1629646
57,1630577
57,1628966
57,1630200
57,1629641
57,203476
57,1630572
58,1631098
58,203078
58,204001
58,1630692
58,1630166
58,1641645
58,1630225
58,1630264
58,1629134
58,1629655
58,1628420
58,1630557
58,1631245
58,1628398
58,1630643
58,1626153
58,201959
59,203081
59,1629014
59,1630570
59,1629680
59,1629629
59,1630553
59,203924
59,1629642
59,1628995
59,1631101
59,1631219
59,1629234
59,1626159
59,203994
59,1631133
59,1630641
59,1631466
60,1631105
60,1630595
60,202692
60,1628977
60,1630165
60,1631197
60,1630587
60,1630164
60,1630181
60,203585
60,202709
60,1631093
60,1631205
60,1630191
60,1628963
60,202711
60,1630647
